exec,format,format_,niter,x,nprocs,nruns,exec-time,insp-time,size,bs,matrix,speedup
cg_par,csr,csr,500,0,1,9,0.834854,0.00296,24668812,1,cant,
cg_par,dsr,dsr,500,0,1,9,0.872341,0.003157,24918616,1,cant,
cg_par,ell,ell,500,0,1,9,1.349565,0.0348,30725896,1,cant,
cg_par,csb-b64,csb,500,0,1,9,1.618883,0.100103,20406702,64,cant,
cg_par,csb-b128,csb,500,0,1,9,1.692902,0.125767,20372142,128,cant,
cg_par,csb-b256,csb,500,0,1,9,1.767372,0.105889,20357754,256,cant,
cg_par,eigen,eigen,500,0.018151,2,9,0.574364,0.055916,24668812,1,cant,
cg_par,coo,coo,500,0,2,9,1.049871,0,32558672,1,cant,
cg_par,csr,csr,500,0,2,9,0.423062,0.002946,24668812,1,cant,
cg_par,dsr,dsr,500,0,2,9,0.442433,0.003158,24918616,1,cant,
cg_par,ell,ell,500,0,2,9,1.106763,0.033655,30725896,1,cant,
cg_par,csb-b64,csb,500,0,2,9,0.818706,0.099857,20406702,64,cant,
cg_par,csb-b128,csb,500,0,2,9,0.854782,0.125024,20372142,128,cant,
cg_par,csb-b256,csb,500,0,2,9,0.892592,0.105359,20357754,256,cant,
cg_par,eigen,eigen,500,0.018151,4,9,0.381241,0.056537,24668812,1,cant,
cg_par,coo,coo,500,0,4,9,0.550197,0,32558672,1,cant,
cg_par,csr,csr,500,0,4,9,0.219492,0.002965,24668812,1,cant,
cg_par,dsr,dsr,500,0,4,9,0.230828,0.003216,24918616,1,cant,
cg_par,ell,ell,500,0,4,9,0.585891,0.034152,30725896,1,cant,
cg_par,csb-b64,csb,500,0,4,9,0.41961,0.100148,20406702,64,cant,
cg_par,csb-b128,csb,500,0,4,9,0.438456,0.125564,20372142,128,cant,
cg_par,csb-b256,csb,500,0,4,9,0.459111,0.105314,20357754,256,cant,
cg_par,eigen,eigen,500,0.018151,8,9,0.298626,0.056068,24668812,1,cant,
cg_par,coo,coo,500,0,8,9,0.321103,0,32558672,1,cant,
cg_par,csr,csr,500,0,8,9,0.124246,0.002946,24668812,1,cant,
cg_par,dsr,dsr,500,0,8,9,0.129999,0.003148,24918616,1,cant,
cg_par,ell,ell,500,0,8,9,0.358726,0.033378,30725896,1,cant,
cg_par,csb-b64,csb,500,0,8,9,0.23733,0.100856,20406702,64,cant,
cg_par,csb-b128,csb,500,0,8,9,0.247364,0.126065,20372142,128,cant,
